C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train.py 
tokens per iteration will be: 4,096
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
E:\python\大模型应用开发\实验二\nanoGPT-master\model.py:64: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  y = torch.nn.functional.scaled_dot_product_attention(q, k, v, attn_mask=None, dropout_p=self.dropout if self.training else 0, is_causal=True)
step 2000: train loss 1.3614, val loss 1.5809
saving checkpoint to out-shakespeare-char
iter 2000: loss 1.4702, time 2880.07ms, mfu 4.34%
iter 2010: loss 1.3817, time 16.40ms, mfu 4.47%
iter 2020: loss 1.4316, time 15.07ms, mfu 4.64%
iter 2030: loss 1.4993, time 19.19ms, mfu 4.66%
iter 2040: loss 1.4598, time 30.66ms, mfu 4.50%
iter 2050: loss 1.4389, time 19.50ms, mfu 4.53%
iter 2060: loss 1.4256, time 27.97ms, mfu 4.41%
iter 2070: loss 1.4256, time 30.86ms, mfu 4.27%
iter 2080: loss 1.4778, time 28.52ms, mfu 4.17%
iter 2090: loss 1.4815, time 24.11ms, mfu 4.14%
iter 2100: loss 1.3727, time 29.82ms, mfu 4.04%
iter 2110: loss 1.3967, time 28.47ms, mfu 3.96%
iter 2120: loss 1.3831, time 21.23ms, mfu 4.00%
iter 2130: loss 1.4278, time 25.01ms, mfu 3.98%
iter 2140: loss 1.3725, time 29.11ms, mfu 3.90%
iter 2150: loss 1.4295, time 16.15ms, mfu 4.08%
iter 2160: loss 1.4165, time 15.00ms, mfu 4.30%
iter 2170: loss 1.4248, time 14.17ms, mfu 4.53%
iter 2180: loss 1.3717, time 25.66ms, mfu 4.44%
iter 2190: loss 1.4614, time 31.59ms, mfu 4.29%
iter 2200: loss 1.3584, time 17.11ms, mfu 4.40%
iter 2210: loss 1.3426, time 17.00ms, mfu 4.51%
iter 2220: loss 1.3400, time 27.00ms, mfu 4.40%
iter 2230: loss 1.4251, time 14.73ms, mfu 4.60%
iter 2240: loss 1.4475, time 13.38ms, mfu 4.83%
step 2250: train loss 1.3321, val loss 1.5640
saving checkpoint to out-shakespeare-char
iter 2250: loss 1.4430, time 6876.45ms, mfu 4.35%
iter 2260: loss 1.4593, time 51.30ms, mfu 4.10%
iter 2270: loss 1.3969, time 69.06ms, mfu 3.82%
iter 2280: loss 1.3398, time 72.12ms, mfu 3.57%
iter 2290: loss 1.4290, time 39.58ms, mfu 3.45%
iter 2300: loss 1.3211, time 46.11ms, mfu 3.31%
iter 2310: loss 1.4220, time 54.39ms, mfu 3.15%
iter 2320: loss 1.4290, time 65.96ms, mfu 2.97%
iter 2330: loss 1.4205, time 54.33ms, mfu 2.85%
iter 2340: loss 1.4256, time 54.22ms, mfu 2.73%
iter 2350: loss 1.4264, time 66.76ms, mfu 2.60%
iter 2360: loss 1.4077, time 57.45ms, mfu 2.50%
iter 2370: loss 1.3551, time 69.07ms, mfu 2.39%
iter 2380: loss 1.3514, time 48.74ms, mfu 2.34%
iter 2390: loss 1.3512, time 58.08ms, mfu 2.27%
iter 2400: loss 1.4087, time 55.43ms, mfu 2.21%
iter 2410: loss 1.3314, time 74.54ms, mfu 2.11%
iter 2420: loss 1.3796, time 36.00ms, mfu 2.16%
iter 2430: loss 1.3589, time 60.48ms, mfu 2.10%
iter 2440: loss 1.4339, time 65.44ms, mfu 2.03%
iter 2450: loss 1.3794, time 41.64ms, mfu 2.05%
iter 2460: loss 1.3815, time 56.50ms, mfu 2.01%
