C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train2.py 
初始化 GPU 模型 | 配置：n_layer=6, n_head=8, n_embd=256
number of parameters: 17.60M
num decayed parameter tensors: 26, with 17,629,184 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: True

开始 GPU 训练 | 数据集：tianlong | 总迭代数：5000 | 批次大小：16
【训练】迭代 240 | 训练损失：3.0823 | 耗时：36.47ms | GPU 利用率：1.90%
【训练】迭代 241 | 训练损失：3.0234 | 耗时：36.64ms | GPU 利用率：1.90%
【训练】迭代 242 | 训练损失：3.2403 | 耗时：37.33ms | GPU 利用率：1.90%
【训练】迭代 243 | 训练损失：3.3554 | 耗时：37.89ms | GPU 利用率：1.90%
【训练】迭代 244 | 训练损失：3.1071 | 耗时：36.75ms | GPU 利用率：1.90%
【训练】迭代 245 | 训练损失：3.2574 | 耗时：37.03ms | GPU 利用率：1.90%
【训练】迭代 246 | 训练损失：3.1296 | 耗时：37.15ms | GPU 利用率：1.90%
【训练】迭代 247 | 训练损失：3.1779 | 耗时：37.48ms | GPU 利用率：1.90%
【训练】迭代 248 | 训练损失：3.2502 | 耗时：36.63ms | GPU 利用率：1.91%
【训练】迭代 249 | 训练损失：3.1368 | 耗时：37.02ms | GPU 利用率：1.91%

【验证】迭代 250 | 验证损失：3.1449 | 当前学习率：9.9792e-04
【保存】模型已保存至 out-tianlong-char\ckpt.pt
【训练】迭代 250 | 训练损失：3.1433 | 耗时：2469.35ms | GPU 利用率：1.72%
【训练】迭代 251 | 训练损失：3.1100 | 耗时：36.82ms | GPU 利用率：1.74%
【训练】迭代 252 | 训练损失：3.1352 | 耗时：37.20ms | GPU 利用率：1.76%
【训练】迭代 253 | 训练损失：3.0693 | 耗时：37.57ms | GPU 利用率：1.77%
【训练】迭代 254 | 训练损失：3.0717 | 耗时：36.52ms | GPU 利用率：1.79%
【训练】迭代 255 | 训练损失：3.2569 | 耗时：37.60ms | GPU 利用率：1.80%
【训练】迭代 256 | 训练损失：3.0582 | 耗时：38.16ms | GPU 利用率：1.80%
【训练】迭代 257 | 训练损失：3.1365 | 耗时：36.00ms | GPU 利用率：1.82%
【训练】迭代 258 | 训练损失：3.1996 | 耗时：36.25ms | GPU 利用率：1.83%
【训练】迭代 259 | 训练损失：3.0642 | 耗时：41.06ms | GPU 利用率：1.82%
【训练】迭代 260 | 训练损失：3.0916 | 耗时：35.51ms | GPU 利用率：1.84%
【训练】迭代 261 | 训练损失：3.0736 | 耗时：36.77ms | GPU 利用率：1.85%
【训练】迭代 262 | 训练损失：3.0200 | 耗时：38.31ms | GPU 利用率：1.85%
【训练】迭代 263 | 训练损失：3.0557 | 耗时：36.85ms | GPU 利用率：1.86%
【训练】迭代 264 | 训练损失：3.2200 | 耗时：38.55ms | GPU 利用率：1.85%
【训练】迭代 265 | 训练损失：3.1686 | 耗时：37.34ms | GPU 利用率：1.86%
【训练】迭代 266 | 训练损失：3.1205 | 耗时：36.42ms | GPU 利用率：1.87%
【训练】迭代 267 | 训练损失：3.1176 | 耗时：37.33ms | GPU 利用率：1.87%
【训练】迭代 268 | 训练损失：3.0828 | 耗时：36.91ms | GPU 利用率：1.88%
【训练】迭代 269 | 训练损失：3.0801 | 耗时：37.06ms | GPU 利用率：1.88%
【训练】迭代 270 | 训练损失：3.1400 | 耗时：38.41ms | GPU 利用率：1.88%
【训练】迭代 271 | 训练损失：3.2512 | 耗时：37.48ms | GPU 利用率：1.88%
【训练】迭代 272 | 训练损失：2.9649 | 耗时：37.79ms | GPU 利用率：1.88%
【训练】迭代 273 | 训练损失：3.1219 | 耗时：36.48ms | GPU 利用率：1.88%
【训练】迭代 274 | 训练损失：3.0015 | 耗时：37.58ms | GPU 利用率：1.88%
【训练】迭代 275 | 训练损失：3.0630 | 耗时：37.71ms | GPU 利用率：1.88%
【训练】迭代 276 | 训练损失：2.9924 | 耗时：37.38ms | GPU 利用率：1.88%
【训练】迭代 277 | 训练损失：2.9483 | 耗时：37.90ms | GPU 利用率：1.88%
